,# 央视
CCTV-16 奥林匹克 4K,http://[2409:8087:2001:20:2800:0:df6e:eb18]/ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8
CCTV-4K 超高清,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8
CCTV-8K 超高清,http://[2409:8087:2001:20:2800:0:df6e:eb02]:80/wh7f454c46tw2749731958_105918260/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1681529690&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
CCTV-8K 超高清,# 卫视
北京卫视,http://[2409:8087:2001:20:2800:0:df6e:eb0b]/wh7f454c46tw2687876293_-1703018199/ott.mobaibox.com/PLTV/3/224/3221227508/index.m3u8?icpid=3&RTS=1668597482&from=40&popid=40&hms_devid=2038&prioritypopid=40&vqe=3
湖南卫视,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228413/index.m3u8
东方卫视,http://[2409:8087:2001:20:2800:0:df6e:eb16]/wh7f454c46tw2542426131_1585848046/ott.mobaibox.com/PLTV/3/224/3221227511/index.m3u8?icpid=3&RTS=1668597336&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
四川卫视,http://[2409:8087:2001:20:2800:0:df6e:eb09]/wh7f454c46tw2502717081_11504314/ott.mobaibox.com/PLTV/3/224/3221227556/index.m3u8?icpid=3&RTS=1669701103&from=40&popid=40&hms_devid=2037&prioritypopid=40&vqe=3
天津卫视,http://[2409:8087:2001:20:2800:0:df6e:eb11]/wh7f454c46tw2730715388_788631706/ott.mobaibox.com/PLTV/3/224/3221227488/index.m3u8?icpid=3&RTS=1668597525&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
安徽卫视,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw2802330256_375747539/ott.mobaibox.com/PLTV/3/224/3221227558/index.m3u8?icpid=3&RTS=1668597596&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
山东卫视,http://[2409:8087:2001:20:2800:0:df6e:eb10]/wh7f454c46tw2848465480_1677095697/ott.mobaibox.com/PLTV/3/224/3221227517/index.m3u8?icpid=3&RTS=1668597642&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
广东卫视,http://[2409:8087:2001:20:2800:0:df6e:eb03]/wh7f454c46tw2917484419_-1632335828/ott.mobaibox.com/PLTV/3/224/3221227476/index.m3u8?icpid=3&RTS=1668597711&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
广西卫视,http://[2409:8087:2001:20:2800:0:df6e:eb05]/wh7f454c46tw2325655923_1638953995/ott.mobaibox.com/PLTV/3/224/3221228183/index.m3u8?icpid=3&RTS=1669700926&from=40&popid=40&hms_devid=2041&prioritypopid=40&vqe=3
江苏卫视,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw2983110475_-1591539074/ott.mobaibox.com/PLTV/3/224/3221228097/index.m3u8?icpid=3&RTS=1668597777&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
江西卫视,http://[2409:8087:2001:20:2800:0:df6e:eb17]/wh7f454c46tw1965546073_-1364170119/ott.mobaibox.com/PLTV/3/224/3221228109/index.m3u8?icpid=3&RTS=1669700566&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
河北卫视,http://[2409:8087:2001:20:2800:0:df6e:eb05]/wh7f454c46tw1698524218_988816054/ott.mobaibox.com/PLTV/3/224/3221228106/index.m3u8?icpid=3&RTS=1669700299&from=40&popid=40&hms_devid=2041&prioritypopid=40&vqe=3
河南卫视,http://[2409:8087:2001:20:2800:0:df6e:eb17]/wh7f454c46tw1784575403_-1712002709/ott.mobaibox.com/PLTV/3/224/3221228221/index.m3u8?icpid=3&RTS=1669700385&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
浙江卫视,http://[2409:8087:2001:20:2800:0:df6e:eb11]/wh7f454c46tw1197826796_-265147758/ott.mobaibox.com/PLTV/3/224/3221227491/index.m3u8?icpid=3&RTS=1669699798&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
海南卫视,http://[2409:8087:2001:20:2800:0:df6e:eb08]/wh7f454c46tw2843123663_1489055229/ott.mobaibox.com/PLTV/3/224/3221228139/index.m3u8?icpid=3&RTS=1669701444&from=40&popid=40&hms_devid=2037&prioritypopid=40&vqe=3
深圳卫视,http://[2409:8087:2001:20:2800:0:df6e:eb11]/wh7f454c46tw3025923625_628894334/ott.mobaibox.com/PLTV/3/224/3221227555/index.m3u8?icpid=3&RTS=1668597820&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
湖北卫视,http://[2409:8087:2001:20:2800:0:df6e:eb11]/wh7f454c46tw3059146177_-1525708880/ott.mobaibox.com/PLTV/3/224/3221227479/index.m3u8?icpid=3&RTS=1668597853&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
山西卫视,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw1574076400_-2066173512/ott.mobaibox.com/PLTV/3/224/3221227559/index.m3u8
东南卫视,http://[2409:8087:2001:20:2800:0:df6e:eb0a]/wh7f454c46tw2900649569_-743777193/ott.mobaibox.com/PLTV/3/224/3221227670/index.m3u8?icpid=3&RTS=1669701501&from=40&popid=40&hms_devid=2038&prioritypopid=40&vqe=3
贵州卫视,http://[2409:8087:2001:20:2800:0:df6e:eb08]/wh7f454c46tw2087544744_109645303/ott.mobaibox.com/PLTV/3/224/3221228136/index.m3u8?icpid=3&RTS=1669700688&from=40&popid=40&hms_devid=2037&prioritypopid=40&vqe=3
辽宁卫视,http://[2409:8087:2001:20:2800:0:df6e:eb16]/wh7f454c46tw3102310989_-1844874138/ott.mobaibox.com/PLTV/3/224/3221227485/index.m3u8?icpid=3&RTS=1668597896&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
重庆卫视,http://[2409:8087:2001:20:2800:0:df6e:eb09]/wh7f454c46tw2787424866_142914197/ott.mobaibox.com/PLTV/3/224/3221228133/index.m3u8?icpid=3&RTS=1669701388&from=40&popid=40&hms_devid=2037&prioritypopid=40&vqe=3
黑龙江卫视,http://[2409:8087:2001:20:2800:0:df6e:eb17]/wh7f454c46tw3143044227_-926148572/ott.mobaibox.com/PLTV/3/224/3221227514/index.m3u8?icpid=3&RTS=1668597937&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
宁夏卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001061/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西卫视,http://[2409:8087:2001:20:2800:0:df6e:eb1b]:80/wh7f454c46tw2360314992_451435426/ott.mobaibox.com/PLTV/3/224/3221227583/index.m3u8
甘肃卫视,http://[2409:8087:2001:20:2800:0:df6e:eb1a]/wh7f454c46tw1400573680_-1979013462/ott.mobaibox.com/PLTV/3/224/3221227568/index.m3u8?icpid=3&RTS=1668600490&from=40&popid=40&hms_devid=2116&prioritypopid=40&vqe=3
吉林卫视,http://[2409:8087:2001:20:2800:0:df6e:eb03]/wh7f454c46tw1874077489_789689702/ott.mobaibox.com/PLTV/3/224/3221228130/index.m3u8?icpid=3&RTS=1669700475&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
云南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001223/index.m3u8
三沙卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?IAS
青海卫视,http://[2409:8087:2001:20:2800:0:df6e:eb1b]/wh7f454c46tw1221605145_-1738716276/ott.mobaibox.com/PLTV/3/224/3221227554/index.m3u8?icpid=3&RTS=1668600311&from=40&popid=40&hms_devid=2116&prioritypopid=40&vqe=3
新疆卫视,http://[2409:8087:2001:20:2800:0:df6e:eb0b]/wh7f454c46tw993550557_162751766/ott.mobaibox.com/PLTV/3/224/3221228290/index.m3u8?icpid=3&RTS=1668604377&from=40&popid=40&hms_devid=2038&prioritypopid=40&vqe=3
西藏卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001302/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
兵团卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001304/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
厦门卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001306/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
内蒙古卫视,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw2228825807_1324573507/ott.mobaibox.com/PLTV/3/224/3221227557/index.m3u8
内蒙古卫视,# 地方
内蒙古卫视,## 云南
云南都市,/udp/239.200.200.12:8844
云南影视,/udp/239.200.200.15:8856
云南娱乐,/udp/239.200.200.13:8848
云南康旅,/udp/239.200.200.31:8860
云南少儿,/udp/239.200.200.32:8864
澜湄国际,/udp/239.200.200.33:8024
云南4K,/udp/239.200.200.178:8884
楚雄新闻,/udp/239.200.200.116:8708
楚雄文旅,/udp/239.200.200.117:8712
楚雄文旅,## 北京
BRTV新闻,http://iptv.8t.cx:8180/udp/239.3.1.159:8000
BRTV财经,http://iptv.8t.cx:8180/udp/239.3.1.116:8000
BRTV生活,http://iptv.8t.cx:8180/udp/239.3.1.117:8000
BRTV文艺,http://iptv.8t.cx:8180/udp/239.3.1.242:8000
BRTV影视,http://iptv.8t.cx:8180/udp/239.3.1.158:8000
BRTV卡酷少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001245/index.m3u8
BRTV纪实科教,http://[2409:8087:2001:20:2800:0:df6e:eb0e]/wh7f454c46tw1542052607_1430934483/ott.mobaibox.com/PLTV/3/224/3221227699/index.m3u8?icpid=3&RTS=1669704438&from=40&popid=40&hms_devid=2111&prioritypopid=40&vqe=3
BRTV纪实科教8K,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
BRTV体育休闲,http://iptv.8t.cx:8180/udp/239.3.1.243:8000
BRTV International,http://iptv.8t.cx:8180/udp/239.3.1.235:8000
北京IPTV·淘剧场,http://iptv.8t.cx:8180/udp/239.3.1.95:8001
北京IPTV·淘娱乐,http://iptv.8t.cx:8180/udp/239.3.1.100:8001
北京IPTV·萌宠TV,http://iptv.8t.cx:8180/udp/239.3.1.102:8001
北京IPTV·淘精彩,http://iptv.8t.cx:8180/udp/239.3.1.178:8001
北京IPTV·淘BABY,http://iptv.8t.cx:8180/udp/239.3.1.238:8001
北京IPTV·淘电影,http://iptv.8t.cx:8180/udp/239.3.1.250:8001
北京IPTV·大健康,http://iptv.8t.cx:8180/udp/239.3.1.251:8001
北京IPTV·4K超清,http://iptv.8t.cx:8180/udp/239.3.1.249:8001
北京IPTV·4K超清,## 上海
新闻综合,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001014/index.m3u8
都市频道,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001015/index.m3u8
东方影视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001016/index.m3u8
ICS外语,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001128/index.m3u8
东方财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001318/index.m3u8
第一财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001017/index.m3u8
生活时尚,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001199/index.m3u8
法治天地,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001195/index.m3u8
都市剧场,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001203/index.m3u8
七彩戏剧,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001308/index.m3u8
上海教育台,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001268/index.m3u8
金色学堂,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001194/index.m3u8
哈哈炫动,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001232/index.m3u8
游戏风云,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001192/index.m3u8
欢笑剧场,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
纪实人文,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw1293235676_155310184/ott.mobaibox.com/PLTV/3/224/3221227635/index.m3u8?icpid=3&RTS=1669704189&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
乐游,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001200/index.m3u8
五星体育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001018/index.m3u8
劲爆体育,https://live.goodiptv.club/api/bestv.php?id=jbtyhd8m/8000000
魅力足球,## 广东
大湾区卫视,http://219.134.221.21:8888/udp/239.77.0.215:5146
广东新闻,http://219.134.221.21:8888/udp/239.77.0.173:5146
广东经济科教,http://219.134.221.21:8888/udp/239.77.0.167:5146
广东民生,http://219.134.221.21:8888/udp/239.77.0.225:5146
广东珠江,http://219.134.221.21:8888/udp/239.77.0.114:5146
广东影视,http://219.134.221.21:8888/udp/239.77.0.217:5146
广东少儿,http://219.134.221.21:8888/udp/239.77.0.250:5146
广东体育,http://219.134.221.21:8888/udp/239.77.0.168:5146
广东4K超高清,http://219.134.221.21:8888/udp/239.77.1.236:5146
广东现代教育,http://219.134.221.21:8888/udp/239.77.0.18:5146
广东房产,http://219.134.221.21:8888/udp/239.77.0.14:5146
广东移动,http://219.134.221.21:8888/udp/239.77.0.20:5146
嘉佳卡通,http://219.134.221.21:8888/udp/239.77.0.179:5146
岭南戏曲,http://219.134.221.21:8888/udp/239.77.0.16:5146
广州综合,http://219.134.221.21:8888/udp/239.253.43.71:5146
广州新闻,http://219.134.221.21:8888/udp/239.253.43.72:5146
广州影视,http://219.134.221.21:8888/udp/239.253.43.73:5146
广州法治,http://219.134.221.21:8888/udp/239.253.43.74:5146
广州竞赛,http://219.134.221.21:8888/udp/239.253.43.75:5146
广州南国都市,http://219.134.221.21:8888/udp/239.253.43.99:5146
广州南国都市,## 深圳
深圳公共,http://219.134.221.21:8888/udp/239.77.1.126:5146
深圳财经生活,http://219.134.221.21:8888/udp/239.77.1.242:5146
深圳都市,http://219.134.221.21:8888/udp/239.77.1.124:5146
深圳电视剧,http://219.134.221.21:8888/udp/239.77.1.125:5146
深圳娱乐,http://219.134.221.21:8888/udp/239.77.1.243:5146
深圳少儿,http://219.134.221.21:8888/udp/239.77.1.244:5146
深圳体育健康,http://219.134.221.21:8888/udp/239.77.1.128:5146
深圳龙岗,http://219.134.221.21:8888/udp/239.77.1.223:5146
深圳宝安,http://219.134.221.21:8888/udp/239.77.1.67:5146
深圳东部,http://219.134.221.21:8888/udp/239.77.1.224:5146
深圳众创TV,http://219.134.221.21:8888/udp/239.77.1.247:5146
深圳移动电视,http://219.134.221.21:8888/udp/239.77.1.175:5146
深圳移动电视,## 四川
四川经济,http://171.217.58.196:8088/udp/239.93.1.101:5140
四川文化旅游,http://171.217.58.196:8088/udp/239.93.1.102:5140
四川新闻,http://171.217.58.196:8088/udp/239.93.0.47:5140
四川影视文艺,http://171.217.58.196:8088/udp/239.93.0.166:5140
四川妇女儿童,http://171.217.58.196:8088/udp/239.93.0.219:5140
四川科教,http://171.217.58.196:8088/udp/239.93.42.44:5140
四川乡村,http://171.217.58.196:8088/udp/239.93.0.52:5140
康巴卫视,http://171.217.58.196:8088/udp/239.93.0.41:5140
峨眉电影,http://171.217.58.196:8088/udp/239.93.0.252:5140
成都 CDTV.1 综合,http://171.217.58.196:8088/udp/239.93.0.16:5140
成都 CDTV.2 经济,http://171.217.58.196:8088/udp/239.93.0.17:1239
成都 CDTV.3 生活,http://171.217.58.196:8088/udp/239.93.0.18:1238
成都 CDTV.4 影视,http://171.217.58.196:8088/udp/239.93.0.19:1250
成都 CDTV.5 公共,http://171.217.58.196:8088/udp/239.93.1.231:5140
成都 CDTV.6 少儿,http://171.217.58.196:8088/udp/239.93.0.21:1251
GDTV 蓉城先锋,http://171.217.58.196:8088/udp/239.93.0.91:2101
成都体育,http://171.217.58.196:8088/udp/239.93.0.224:1281
熊猫频道1,http://171.217.58.196:8088/udp/239.93.0.211:9148
熊猫频道2,http://171.217.58.196:8088/udp/239.93.1.178:5140
自贡文化生活,## 重庆
重庆新闻,http://wdnas.190301.xyz:6188/udp/225.0.4.188:7980
重庆影视,http://wdnas.190301.xyz:6188/udp/225.0.4.192:7980
重庆社会与法,http://wdnas.190301.xyz:6188/udp/225.0.4.190:7980
重庆时尚生活,http://wdnas.190301.xyz:6188/udp/225.0.4.196:7980
重庆文体娱乐,http://wdnas.190301.xyz:6188/udp/225.0.4.194:7980
重庆新农村,http://wdnas.190301.xyz:6188/udp/225.0.4.189:7980
重庆少儿,http://wdnas.190301.xyz:6188/udp/225.0.4.191:7980
重庆科教,http://wdnas.190301.xyz:6188/udp/225.0.4.193:7980
重庆汽摩,http://wdnas.190301.xyz:6188/udp/225.0.4.195:7980
重庆移动,http://wdnas.190301.xyz:6188/udp/225.0.4.215:7980
重广融媒,## 天津
天津新闻,http://60.27.103.231:9999/udp/225.1.1.130:5002
天津文艺,http://60.27.103.231:9999/udp/225.1.1.131:5002
天津影视,http://60.27.103.231:9999/udp/225.1.1.149:5002
天津都市,http://60.27.103.231:9999/udp/225.1.1.128:5002
天津体育,http://60.27.103.231:9999/udp/225.1.1.122:5002
天津教育,http://60.27.103.231:9999/udp/225.1.1.129:5002
天津少儿,http://60.27.103.231:9999/udp/225.1.1.125:5002
天津IPTV,http://60.27.103.231:9999/udp/225.1.2.182:5002
蓟州,http://60.27.103.231:9999/udp/225.1.1.82:5002
大港油田企业频道,http://60.27.103.231:9999/udp/225.1.2.14:5002
大港油田企业频道,## 浙江
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
钱江都市,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
之江记录,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
杭州综合,http://iptv.myxcwh.com:8888/udp/233.50.201.173:5140
杭州明珠,http://iptv.myxcwh.com:8888/udp/233.50.201.174:5140
杭州生活,http://iptv.myxcwh.com:8888/udp/233.50.201.175:5140
杭州影视,http://iptv.myxcwh.com:8888/udp/233.50.201.176:5140
杭州青少·体育,http://iptv.myxcwh.com:8888/udp/233.50.201.177:5140
杭州导视,http://iptv.myxcwh.com:8888/udp/233.50.201.182:5140
杭州导视,## 江苏
江苏新闻,http://222.95.182.149:4022/rtp/239.49.9.40:6000
江苏城市,http://222.95.182.149:4022/rtp/239.49.9.35:6000
江苏国际,http://2016.328326.com:3005/jstv/video?vodId=jsgj
江苏综艺,http://222.95.182.149:4022/rtp/239.49.9.36:6000
江苏影视,http://222.95.182.149:4022/rtp/239.49.9.38:6000
江苏教育,http://222.95.182.149:4022/rtp/239.49.9.42:6000
江苏体育·休闲,http://222.95.182.149:4022/rtp/239.49.9.37:6000
优漫卡通,http://222.95.182.149:4022/rtp/239.49.9.39:6000
南京新闻,http://[2409:8087:2001:20:2800:0:df6e:eb15]:80/ott.mobaibox.com/PLTV/4/224/3221227213/index.m3u8
南京信息,http://[2409:8087:2001:20:2800:0:df6e:eb11]:80/ott.mobaibox.com/PLTV/4/224/3221227730/index.m3u8
南京娱乐,http://[2409:8087:2001:20:2800:0:df6e:eb10]:80/ott.mobaibox.com/PLTV/4/224/3221227722/index.m3u8
南京少儿,http://[2409:8087:2001:20:2800:0:df6e:eb10]/wh7f454c46tw3425352611_209642410/ott.mobaibox.com/PLTV/4/224/3221227733/index.m3u8
南京教科,http://[2409:8087:2001:20:2800:0:df6e:eb04]/wh7f454c46tw3484211223_471033633/ott.mobaibox.com/PLTV/4/224/3221227194/index.m3u8
南京生活,http://[2409:8087:2001:20:2800:0:df6e:eb11]/wh7f454c46tw3530023629_201686832/ott.mobaibox.com/PLTV/4/224/3221227786/index.m3u8
南京影视,http://[2409:8087:2001:20:2800:0:df6e:eb10]/wh7f454c46tw3614839407_-1644050596/ott.mobaibox.com/PLTV/4/224/3221227719/index.m3u8
南京十八,http://[2409:8087:2001:20:2800:0:df6e:eb04]/wh7f454c46tw3568749588_-1882152959/ott.mobaibox.com/PLTV/4/224/3221227178/index.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
苏州4K,## 安徽
安徽公共,http://114.97.209.64:8888/udp/238.1.79.43:4456
安徽经济生活,http://114.97.214.101:8888/udp/238.1.79.44:4464
安徽影视,http://114.97.214.101:8888/udp/238.1.79.42:4448
安徽农业·科教,http://114.97.214.101:8888/udp/238.1.79.40:4432
安徽综艺·体育,http://114.97.214.101:8888/udp/238.1.79.41:4440
安徽国际,http://114.97.214.101:8888/udp/238.1.78.61:6360
